146	DA	14	144	NO	24	138	DW	30	127	ME	20	117
147	ME	21	157	NO	17	147	EN	25	133	WI	30	121
148	AL	30	167	EN	15	137	NO	24	133	ME	17	101
149	CH	21	151	CU	15	147	SW	30	137	WI	20	134
150	CU	24	170	EN	19	165	DA	27	141	ME	30	130
151	CU	23	149	ME	30	140	DA	30	138	DW	18	115
152	SW	30	135	WI	15	131	DA	9	126	NO	16	104
153	DA	11	157	SW	30	155	WI	22	129	CH	13	122
160	SW	13	141	DW	30	140	AL	26	138	NO	20	112
7	EN	21	151	HA	22	148	DA	22	135	SW	30	121
8	DA	18	142	NO	30	131	CH	26	120	AU	27	99
9	WI	30	140	ME	25	136	DA	6	127	EN	14	88
10	CU	16	152	AL	30	134	GI	30	133	WI	11	104
11	FA	30	152	SW	19	130	WI	30	121	EN	30	90
12	HA	16	143	AU	30	141	DA	21	114	ME	24	89
13	DA	20	158	WI	30	153	NO	17	147	SW	29	103
14	EN	9	139	ME	11	133	DA	10	125	FA	30	113
15	CH	30	161	WI	30	145	AL	30	122	SW	30	112
41	CH	30	142	AL	16	141	EN	16	139	SW	12	103
16	EN	16	159	DA	12	124	FA	30	115	ME	19	112
42	WI	22	127	AL	22	126	FA	26	114	DW	24	110
17	CH	17	140	AL	30	139	SW	29	132	AU	30	119
18	WI	30	152	NO	25	139	CH	30	131	DA	16	127
19	DW	30	126	WI	20	121	AL	5	111	NO	7	95
20	SW	30	134	CH	10	116	WI	12	114	DA	5	112
21	DA	9	165	DW	27	135	NO	27	125	CH	30	122
22	DW	30	156	ME	15	137	HA	15	116	CH	30	97
23	HA	30	155	WI	15	135	NO	21	126	ME	16	126
24	EN	15	154	CU	30	134	ME	30	121	DA	15	107
25	EN	22	162	DA	24	151	HA	24	135	ME	30	116
43	CH	13	143	AL	30	122	HA	16	119	SW	16	105
26	ME	2	123	FA	22	121	DW	30	116	CH	30	109
44	NO	30	162	DA	17	155	SW	22	151	EN	14	102
161	HA	17	152	AU	25	152	FA	30	125	SW	19	123
162	DA	21	138	GI	17	131	SW	10	126	CU	30	124
163	CH	19	155	WI	24	153	ME	30	120	CU	17	111
164	NO	30	152	EN	13	134	AL	23	129	ME	30	117
165	DA	19	140	CH	29	139	SW	22	120	AU	30	114
166	AU	30	147	NO	21	142	CH	26	123	ME	13	115
167	SW	30	154	EN	22	136	NO	24	128	HA	26	125
168	AL	30	157	NO	20	144	WI	22	124	ME	30	112
169	CH	29	148	SW	30	132	CU	20	129	WI	22	114
170	FA	29	149	WI	30	149	SW	25	144	AL	30	115
171	AL	24	154	CU	15	153	WI	24	128	GI	30	126
172	DW	21	143	ME	30	142	HA	22	134	DA	25	127
177	FA	21	132	WI	30	131	DW	16	129	CU	8	126
178	CU	20	142	ME	30	135	NO	25	129	EN	20	126
179	NO	20	174	DA	20	137	AU	30	119	ME	21	118
180	NO	30	163	SW	25	158	DA	30	148	EN	23	144
181	SW	30	153	NO	28	147	DA	21	137	GI	30	124
182	GI	30	139	CU	12	137	AL	21	127	WI	18	119
27	SW	30	150	CU	16	126	NO	21	121	EN	10	116
45	WI	30	130	CU	30	127	ME	30	122	NO	24	109
46	AL	30	155	DW	22	139	ME	19	134	NO	16	122
28	NO	20	154	SW	19	146	GI	30	129	DA	24	125
29	CH	12	144	DA	11	143	ME	25	132	WI	30	130
47	NO	15	135	EN	19	129	DA	10	115	AU	30	108
30	NO	20	152	DA	18	142	DW	30	141	ME	25	121
31	EN	5	139	CU	10	121	ME	30	109	DA	13	98
32	AL	30	174	SW	25	157	EN	27	141	CH	30	122
33	EN	30	170	DA	21	132	ME	19	101	NO	30	101
48	NO	30	134	CU	10	126	EN	29	126	WI	24	123
